Species,Location,Latitude,Longitude,Observation Date
Chestnut-backed Chickadee,"Broadview, Seattle, WA, USA",47.7114322997,-122.3746155997,2024-08-18
Hydroprogne caspia,"Seattle, WA, USA",47.7095819972,-122.3819640128,2024-06-17
Song Sparrow,"Seattle, WA, USA",47.7095819972,-122.3819640128,2024-06-17
Bald Eagle,"Seattle, WA, USA",47.7095819972,-122.3819640128,2024-06-17
Brant,"Seattle, WA, USA",47.7095819972,-122.3819640128,2024-06-17
Mallard,"Seattle, WA, USA",47.7095819972,-122.3819640128,2024-06-17
American Crow,"Seattle, WA, USA",47.7056299429,-122.3857305271,2024-06-17
Glaucous-winged Gull,"Seattle, WA, USA",47.7056299429,-122.3857305271,2024-06-17
Great Blue Heron,"Seattle, WA, USA",47.7061285094,-122.3852063615,2024-06-17
Belted Kingfisher,"Seattle, WA, USA",47.7061285094,-122.3852063615,2024-06-17
Bewick's Wren,"North Beach/Blue Ridge, Seattle, WA, USA",47.7076367484,-122.3752003665,2024-08-18
Pileated Woodpecker,"King County, US-WA, US",47.7116102,-122.37170224,2024-08-15
Anna's Hummingbird,"North Beach/Blue Ridge, Seattle, WA, USA",47.7039377656,-122.3766695442,2024-08-11
Pandion haliaetus,"North Beach/Blue Ridge, Seattle, WA, USA",47.7081271299,-122.377262445,2024-08-11
Band-tailed Pigeon,"Crown Hill, Seattle, WA, USA",47.7051292621,-122.3715505761,2024-08-11
Great Blue Heron,"Broadview, Seattle, WA, US",47.7142799367,-122.378423419,2024-08-05
Great Blue Heron,"NW Carkeek Park Rd, Seattle, WA, US",47.7139208345,-122.3786072235,2024-08-04
American Crow,"Seattle, WA, USA",47.712842219,-122.3801276649,2024-08-03
Pandion haliaetus,"Seattle, WA, USA",47.7124724931,-122.380414035,2024-08-03
Chestnut-backed Chickadee,"North Beach/Blue Ridge, Seattle, WA, USA",47.7036849273,-122.3766537494,2024-08-04
Anna's Hummingbird,"North Beach/Blue Ridge, Seattle, WA, USA",47.7050773091,-122.3766957479,2024-08-04
Steller's Jay,"North Beach/Blue Ridge, Seattle, WA, USA",47.705880521,-122.3788448382,2024-08-04
American Crow,"North Beach/Blue Ridge, Seattle, WA, USA",47.7084217668,-122.3769426384,2024-08-04
Great Blue Heron,"NW Carkeek Park Rd, Seattle, WA, US",47.7133307003,-122.3789748389,2024-08-03
Great Blue Heron,"NW Carkeek Park Rd, Seattle, WA, US",47.7132716667,-122.3793866667,2024-06-09
Steller's Jay,"North Beach/Blue Ridge, Seattle, WA, USA",47.70651439,-122.37619066,2024-07-28
Song Sparrow,"North Beach/Blue Ridge, Seattle, WA, USA",47.7082963745,-122.3765641749,2024-07-28
Pileated Woodpecker,"North Beach/Blue Ridge, Seattle, WA, USA",47.7066114795,-122.3696585169,2024-07-27
Brown Creeper,"Carkeek Park, Seattle, WA, US",47.7108674123,-122.3733466023,2024-07-25
Pileated Woodpecker,"Carkeek Park, Seattle, WA, US",47.71175,-122.3790883333,2024-07-22
Great Blue Heron,"NW Carkeek Park Rd, Seattle, WA, US",47.7136273539,-122.3788324167,2024-07-21
Black-capped Chickadee,"North Beach/Blue Ridge, Seattle, WA, USA",47.70837145,-122.3769770939,2024-07-21
Song Sparrow,"North Beach/Blue Ridge, Seattle, WA, USA",47.7082601924,-122.3769471012,2024-07-21
Dryobates villosus,"North Beach/Blue Ridge, Seattle, WA, USA",47.7082123118,-122.3766181281,2024-07-21
Molothrus ater,"North Beach/Blue Ridge, Seattle, WA, USA",47.7057189389,-122.3707453069,2024-07-14
American Robin,"North Beach/Blue Ridge, Seattle, WA, USA",47.7057073015,-122.3707385243,2024-07-14
Strix varia,"North Beach/Blue Ridge, Seattle, WA, USA",47.7083235349,-122.3778140613,2024-07-14
Contopus cooperi,"North Beach/Blue Ridge, Seattle, WA, USA",47.7081364208,-122.3772084742,2024-07-14
American Crow,"North Beach/Blue Ridge, Seattle, WA, USA",47.7057112516,-122.3707616304,2024-07-14
Zonotrichia leucophrys,"North Beach/Blue Ridge, Seattle, WA, USA",47.7058518684,-122.3713860553,2024-07-12
Dryobates pubescens,"Broadview, Seattle, WA, USA",47.7094561422,-122.3718301962,2024-07-12
Spotted Towhee,"Broadview, Seattle, WA, USA",47.709654776,-122.3751927643,2024-07-12
American Robin,"Carkeek Park, Seattle, WA, US",47.71082,-122.3760133333,2024-06-16
House Finch,"North Beach/Blue Ridge, Seattle, WA, USA",47.7055762624,-122.3774513576,2024-07-07
Spotted Towhee,"North Beach/Blue Ridge, Seattle, WA, USA",47.707472339,-122.3742555952,2024-07-07
Chestnut-backed Chickadee,"Broadview, Seattle, WA, USA",47.7127415484,-122.3785197671,2024-06-04
Dark-eyed Junco,"Broadview, Seattle, WA, USA",47.7127175231,-122.3785110499,2024-06-04
Pandion haliaetus,"Seattle, WA, USA",47.7124848237,-122.3815655767,2024-07-05
Song Sparrow,"Seattle, WA, USA",47.7209264227,-122.3763835489,2024-07-05
Bald Eagle,"Broadview, Seattle, WA, USA",47.7166266644,-122.375676915,2024-07-05
