Species,Location,Latitude,Longitude,Observation Date
Colaptes auratus,"Lake Sammamish State Park, Issaquah, WA, US",47.5598009583,-122.064739829,2024-06-16
Anas platyrhynchos,"Jensens Cove, Issaquah, WA, US",47.5648765903,-122.0553753213,2024-06-08
Zonotrichia leucophrys,"Lake Sammamish State Park, Issaquah, WA, US",47.5614326756,-122.063593755,2024-06-08
Mareca strepera,"Lake Sammamish State Park, Issaquah, WA, US",47.5618040228,-122.06413232,2024-06-08
Haliaeetus leucocephalus,"Lake Sammamish State Park, Issaquah, WA, US",47.5607469461,-122.0647419325,2024-06-08
Branta canadensis,"Lake Sammamish, Issaquah, WA, US",47.5589764825,-122.0666132893,2024-06-08
Corvus brachyrhynchos,"Lake Sammamish State Park, Issaquah, WA, US",47.557932015,-122.0665105083,2024-06-08
Ardea herodias,"Lake Sammamish State Park, Issaquah, WA, US",47.5576730332,-122.0674841201,2024-06-08
Thryomanes bewickii,"Issaquah, WA, USA",47.5596038854,-122.0635063159,2024-05-15
Anas platyrhynchos,"Issaquah, WA, USA",47.5596038854,-122.0635063159,2024-05-15
Sphyrapicus ruber,"Issaquah, WA, USA",47.5596038854,-122.0635063159,2024-05-15
Molothrus ater,"Issaquah, WA, USA",47.5596038854,-122.0635063159,2024-05-15
Pandion haliaetus,"Issaquah, WA, USA",47.5596038854,-122.0635063159,2024-05-15
Haliaeetus leucocephalus,"Issaquah, WA, USA",47.5596038854,-122.0635063159,2024-05-15
Corvus corax,"Issaquah, WA, USA",47.5596038854,-122.0635063159,2024-05-15
Melospiza melodia,"Issaquah, WA, USA",47.5596038854,-122.0635063159,2024-05-15
Hirundo rustica,"Issaquah, WA, USA",47.5596038854,-122.0635063159,2024-05-15
Corvus brachyrhynchos,"Issaquah, WA, USA",47.5596038854,-122.0635063159,2024-05-15
Cyanocitta stelleri,"Issaquah, WA, USA",47.5596038854,-122.0635063159,2024-05-15
Sturnus vulgaris,"Issaquah, WA, USA",47.5596038854,-122.0635063159,2024-05-15
Branta canadensis,"Issaquah, WA, USA",47.5596038854,-122.0635063159,2024-05-15
